"crimeTypes...1.","anti_social_behaviour","bicycle_theft","possession_of_weapons","vehicle_crime","somModel.unit.classif"
"Camden 028B",386,72,4,76,18
"City of London 001A",47,38,0,20,57
"City of London 001B",95,26,0,3,76
"City of London 001C",13,4,1,0,322
"City of London 001E",126,17,3,19,55
"City of London 001F",630,216,28,96,20
"City of London 001G",142,56,7,42,17
"Hackney 027G",278,107,3,83,18
"Islington 022H",52,15,2,16,94
"Islington 023D",193,57,3,56,38
"Tower Hamlets 015B",274,54,3,23,38
"Tower Hamlets 015E",193,15,2,19,12
"Westminster 018B",697,86,1,74,19
"Camden 027C",40,4,0,1,323
"Islington 020E",126,36,1,35,57
"Southwark 003H",78,8,0,7,132
"Tower Hamlets 021F",132,10,0,28,8
"Tower Hamlets 027B",83,15,6,34,41
"Southwark 003E",97,50,7,59,17
"Tower Hamlets 015A",272,31,4,30,15
"Tower Hamlets 014D",74,7,4,22,82
"Camden 027B",138,29,2,60,79
"Southwark 002C",76,34,0,39,78
"Tower Hamlets 025C",256,5,4,9,33
"Islington 023E",80,21,0,20,96
"Barking and Dagenham 001A",60,0,1,24,87
"Barking and Dagenham 001B",15,0,1,11,265
"Barking and Dagenham 001C",51,2,1,15,169
"Barking and Dagenham 001D",44,0,2,30,84
"Barking and Dagenham 002A",18,5,2,18,184
"Barking and Dagenham 002B",21,1,0,20,378
"Barking and Dagenham 002C",15,0,0,10,370
"Barking and Dagenham 002D",49,0,1,28,86
"Barking and Dagenham 002E",86,4,0,22,257
"Barking and Dagenham 002F",53,1,1,19,128
"Barking and Dagenham 003A",82,0,0,14,110
"Barking and Dagenham 003B",6,0,0,11,391
"Barking and Dagenham 003C",15,2,0,10,212
"Barking and Dagenham 003D",5,1,0,9,389
"Barking and Dagenham 004A",2,1,1,15,204
"Barking and Dagenham 004B",33,1,0,20,358
"Barking and Dagenham 004C",61,2,3,13,142
"Barking and Dagenham 004D",52,0,0,13,271
"Barking and Dagenham 004E",38,3,1,22,107
"Barking and Dagenham 006A",50,0,1,11,247
"Barking and Dagenham 006B",71,1,3,16,142
"Barking and Dagenham 006C",88,2,1,12,129
"Barking and Dagenham 006D",44,0,1,20,127
"Barking and Dagenham 006E",38,2,1,16,168
"Barking and Dagenham 007A",60,1,1,21,108
