"Group.1","x"
381,241
362,52
370,35
391,30
331,27
372,27
376,27
350,26
367,26
245,24
364,24
386,24
149,23
211,23
234,23
271,23
388,23
389,23
144,22
335,22
352,22
371,22
330,21
393,21
128,20
129,20
157,20
205,20
214,20
226,20
233,20
236,20
326,20
329,20
365,20
374,20
107,19
170,19
232,19
285,19
300,19
301,19
147,18
252,18
253,18
274,18
275,18
291,18
310,18
327,18
337,18
351,18
358,18
368,18
369,18
387,18
110,17
137,17
156,17
195,17
207,17
216,17
277,17
284,17
309,17
334,17
346,17
353,17
373,17
394,17
65,16
73,16
74,16
85,16
91,16
126,16
151,16
152,16
160,16
176,16
192,16
201,16
203,16
206,16
265,16
266,16
276,16
289,16
290,16
311,16
312,16
317,16
338,16
354,16
375,16
377,16
390,16
395,16
400,16
64,15
72,15
89,15
142,15
148,15
154,15
167,15
177,15
187,15
200,15
208,15
225,15
240,15
254,15
307,15
308,15
324,15
328,15
347,15
349,15
355,15
366,15
396,15
6,14
27,14
29,14
52,14
66,14
88,14
127,14
135,14
136,14
168,14
169,14
180,14
189,14
194,14
210,14
221,14
237,14
238,14
244,14
246,14
248,14
250,14
283,14
313,14
319,14
320,14
321,14
336,14
348,14
363,14
384,14
385,14
392,14
12,13
33,13
47,13
61,13
75,13
92,13
101,13
102,13
106,13
121,13
125,13
145,13
146,13
182,13
186,13
202,13
204,13
212,13
217,13
222,13
230,13
235,13
247,13
255,13
267,13
270,13
279,13
295,13
299,13
316,13
318,13
323,13
325,13
340,13
344,13
356,13
359,13
378,13
383,13
46,12
49,12
69,12
112,12
123,12
155,12
158,12
162,12
165,12
166,12
179,12
181,12
185,12
223,12
257,12
258,12
280,12
333,12
343,12
357,12
379,12
397,12
4,11
8,11
9,11
26,11
48,11
63,11
70,11
81,11
86,11
105,11
118,11
120,11
131,11
133,11
163,11
171,11
174,11
193,11
196,11
213,11
228,11
261,11
273,11
293,11
302,11
11,10
25,10
41,10
67,10
71,10
77,10
83,10
87,10
108,10
117,10
119,10
122,10
138,10
139,10
140,10
141,10
159,10
172,10
175,10
184,10
188,10
197,10
198,10
199,10
249,10
256,10
269,10
278,10
288,10
314,10
332,10
341,10
380,10
3,9
5,9
10,9
31,9
35,9
45,9
53,9
62,9
68,9
84,9
96,9
97,9
103,9
109,9
111,9
115,9
134,9
178,9
183,9
215,9
218,9
220,9
227,9
229,9
231,9
239,9
242,9
260,9
282,9
292,9
294,9
296,9
298,9
315,9
339,9
398,9
399,9
14,8
23,8
28,8
38,8
42,8
50,8
54,8
55,8
82,8
94,8
100,8
113,8
116,8
124,8
132,8
150,8
173,8
251,8
262,8
263,8
297,8
303,8
1,7
2,7
19,7
21,7
36,7
37,7
43,7
44,7
57,7
60,7
76,7
78,7
90,7
95,7
104,7
114,7
164,7
209,7
241,7
264,7
281,7
345,7
360,7
13,6
16,6
32,6
56,6
130,6
161,6
219,6
243,6
259,6
272,6
7,5
17,5
24,5
30,5
34,5
39,5
58,5
80,5
93,5
99,5
153,5
15,4
18,4
20,4
22,4
51,4
79,4
286,4
191,3
40,2
59,2
98,2
143,2
268,2
322,1
