"Group.1","x"
381,254
361,38
23,26
1,25
290,25
301,25
387,25
102,24
122,24
169,24
321,24
150,23
181,23
222,23
302,23
348,23
369,23
386,23
81,22
101,22
103,22
186,22
230,22
307,22
325,22
399,22
400,22
125,21
205,21
223,21
322,21
335,21
346,21
349,21
364,21
24,20
350,20
384,20
385,20
388,20
397,20
7,19
44,19
65,19
82,19
105,19
121,19
149,19
245,19
328,19
363,19
392,19
396,19
46,18
62,18
63,18
144,18
147,18
188,18
189,18
214,18
225,18
233,18
242,18
345,18
347,18
389,18
8,17
41,17
151,17
184,17
224,17
281,17
312,17
314,17
352,17
390,17
393,17
3,16
22,16
27,16
104,16
106,16
128,16
141,16
161,16
165,16
191,16
203,16
208,16
212,16
229,16
234,16
261,16
264,16
354,16
362,16
368,16
395,16
5,15
61,15
67,15
84,15
85,15
112,15
133,15
146,15
163,15
167,15
182,15
187,15
195,15
211,15
249,15
257,15
265,15
271,15
289,15
304,15
310,15
320,15
323,15
330,15
370,15
373,15
391,15
394,15
398,15
4,14
6,14
25,14
64,14
76,14
111,14
142,14
148,14
190,14
226,14
235,14
243,14
251,14
278,14
291,14
300,14
319,14
351,14
357,14
9,13
83,13
94,13
115,13
123,13
145,13
183,13
192,13
198,13
204,13
206,13
231,13
259,13
282,13
283,13
303,13
313,13
324,13
326,13
333,13
343,13
374,13
378,13
2,12
11,12
21,12
31,12
51,12
68,12
73,12
89,12
91,12
92,12
108,12
110,12
152,12
164,12
170,12
173,12
185,12
196,12
197,12
202,12
220,12
228,12
241,12
256,12
266,12
267,12
270,12
272,12
274,12
293,12
294,12
298,12
305,12
308,12
329,12
331,12
332,12
339,12
360,12
372,12
10,11
26,11
43,11
53,11
54,11
129,11
131,11
132,11
156,11
172,11
207,11
209,11
210,11
215,11
217,11
236,11
247,11
253,11
254,11
260,11
269,11
279,11
284,11
286,11
288,11
306,11
309,11
316,11
318,11
344,11
356,11
358,11
367,11
371,11
375,11
382,11
28,10
42,10
45,10
47,10
48,10
52,10
66,10
69,10
107,10
119,10
134,10
143,10
162,10
166,10
176,10
177,10
246,10
255,10
258,10
263,10
276,10
277,10
292,10
311,10
342,10
359,10
366,10
30,9
33,9
49,9
86,9
88,9
97,9
114,9
126,9
130,9
153,9
159,9
168,9
171,9
175,9
213,9
219,9
240,9
252,9
299,9
353,9
379,9
16,8
18,8
32,8
50,8
70,8
71,8
116,8
127,8
135,8
137,8
138,8
174,8
178,8
180,8
199,8
201,8
221,8
227,8
232,8
237,8
244,8
248,8
268,8
273,8
275,8
285,8
287,8
317,8
334,8
337,8
355,8
380,8
29,7
57,7
58,7
75,7
80,7
90,7
100,7
136,7
154,7
155,7
179,7
194,7
200,7
216,7
238,7
239,7
250,7
296,7
297,7
315,7
14,6
15,6
20,6
72,6
74,6
87,6
93,6
96,6
109,6
113,6
117,6
118,6
124,6
157,6
160,6
193,6
262,6
280,6
327,6
338,6
376,6
383,6
35,5
37,5
55,5
56,5
120,5
139,5
140,5
365,5
377,5
12,4
34,4
38,4
59,4
60,4
77,4
78,4
79,4
98,4
218,4
295,4
336,4
341,4
13,3
17,3
19,3
36,3
95,3
158,3
40,2
99,2
340,2
39,1
